门店ID,门店名称,业态分类,楼层,经营场景,租赁面积(sqm),本月销售额,销售环比(%),进店率(%),成交转化率(%),租售比(%),欠费总额(元),欠费天数,保证金覆盖率(%),水电费波动(%),近90天投诉数,退款申请数,续费率(%),安全巡检分,家长投诉率(‰),风险得分,风险等级
SHOP_057,乐芽成长中心,儿童配套,F3,欠费承压,284,182976,-20.0,6.5,8.5,28.0,31000,38,75.0,-10.0,6,7,51.0,80.0,5.2,65,高
SHOP_058,知禾亲子馆,儿童配套,F3,健康,208,376045,6.0,10.7,30.8,14.7,0,0,124.8,-2.5,1,0,79.7,89.0,2.86,0,低
SHOP_059,启星亲子馆,儿童配套,F4,区域性下滑,189,285668,-18.0,7.7,18.5,22.2,0,0,85.6,-5.4,3,4,49.5,82.6,3.95,20,低
SHOP_060,星宝成长中心,儿童配套,F3,健康,415,581137,4.8,10.2,28.6,16.5,0,0,110.2,-3.7,0,1,69.3,83.1,2.5,0,低
SHOP_061,乐芽成长中心5,儿童配套,F3,健康,276,648133,4.6,12.6,31.3,13.6,0,0,98.1,-4.6,1,2,59.1,84.1,1.55,0,低
SHOP_062,彩虹艺术课堂,儿童配套,F4,持续下滑,157,367780,-18.2,6.3,11.6,27.5,888,16,114.9,-17.2,6,7,59.4,82.5,4.66,28,低
SHOP_063,彩虹运动馆,儿童配套,F3,短期波动,370,504085,-10.6,9.9,23.0,21.3,0,0,118.5,5.4,1,3,57.5,82.3,1.85,12,低
SHOP_064,彩虹运动馆2,儿童配套,F4,转化恶化,279,222300,-12.5,15.9,8.0,19.8,0,0,140.0,5.4,5,5,56.3,93.2,2.62,21,低
SHOP_065,童学社亲子馆,儿童配套,F4,健康,368,356350,3.4,11.5,21.3,13.8,0,0,80.3,3.2,3,5,61.4,96.9,2.1,2,低
SHOP_066,奇趣运动馆,儿童配套,F4,欠费承压,203,417018,-8.6,10.4,16.6,37.0,58068,21,89.6,-16.4,3,5,52.5,93.9,3.8,38,中
SHOP_067,乐芽成长中心4,儿童配套,F3,健康,171,330289,-0.0,12.3,23.2,18.0,0,0,90.2,3.3,1,4,78.0,82.2,3.38,0,低
SHOP_068,乐芽成长中心3,儿童配套,F4,健康,397,410947,-0.1,15.6,28.4,12.8,0,0,129.3,-4.5,1,2,70.1,93.3,3.45,0,低
SHOP_069,奇趣成长中心,儿童配套,F3,健康,245,461124,5.5,17.0,17.8,10.7,0,0,97.8,4.7,3,2,86.3,93.6,4.33,0,低
SHOP_070,星宝亲子馆,儿童配套,F3,健康,256,464121,0.5,20.1,17.7,16.4,0,0,105.3,0.2,1,3,83.2,92.1,2.62,0,低
SHOP_071,童学社成长中心,儿童配套,F4,健康,212,580976,3.1,16.7,21.6,15.5,0,0,119.2,-4.9,3,3,86.8,86.3,2.62,0,低
SHOP_072,知禾艺术课堂,儿童配套,F4,短期波动,293,435083,-9.0,7.1,26.0,18.0,0,0,146.0,-2.0,2,5,75.9,96.4,2.69,4,低
SHOP_073,云仓百货,主力店,B1,区域性下滑,975,3306864,-26.0,4.8,13.0,22.0,0,0,144.8,-18.0,4,0,,,,29,低
SHOP_074,乐享超市,主力店,B1,持续下滑,1679,3093565,-24.6,7.0,10.8,32.3,17707,23,89.1,-5.1,8,0,,,,45,中
SHOP_075,悦购百货,主力店,F5,健康,1244,5004549,3.2,15.9,19.9,20.6,0,0,98.5,4.0,2,0,,,,4,低
SHOP_076,盒里家居,主力店,F5,短期波动,938,2445814,-9.4,8.2,26.0,19.5,0,0,145.2,-0.1,5,0,,,,7,低
SHOP_077,盒里影城,主力店,B1,健康,1812,2616146,4.3,18.8,22.8,17.2,0,0,113.8,5.0,1,0,,,,0,低
SHOP_078,乐享家居,主力店,B1,健康,1400,2779335,1.5,21.7,27.0,12.5,0,0,93.1,4.1,3,0,,,,0,低
SHOP_079,万家超市,主力店,B1,健康,1576,4725389,7.6,19.4,30.6,16.3,0,0,113.0,5.8,3,0,,,,0,低
SHOP_080,云仓百货2,主力店,F5,短期波动,870,4081921,-7.9,10.7,18.7,15.4,0,0,123.6,-9.1,2,0,,,,0,低
SHOP_081,云仓超市,主力店,F5,健康,896,3924107,-1.7,9.8,31.1,12.7,0,0,140.1,1.5,1,0,,,,0,低
SHOP_082,盒里影城9,主力店,F5,转化恶化,1899,4602529,-10.4,17.7,9.9,19.0,0,0,112.7,-0.7,2,0,,,,12,低
SHOP_083,净衣坊维修,生活服务,F4,欠费承压,98,104311,-24.0,4.5,9.0,34.0,52000,64,55.0,-22.0,5,0,,,,71,高
SHOP_084,云剪美发,生活服务,B1,健康,133,77836,7.5,12.7,20.6,19.6,0,0,142.5,4.8,2,0,,,,4,低
SHOP_085,青柠维修,生活服务,F2,持续下滑,133,54082,-23.4,9.5,7.2,30.4,5316,10,103.3,-19.4,3,0,,,,35,中
SHOP_086,云剪美发7,生活服务,F4,健康,174,126481,4.8,21.1,23.9,10.2,0,0,85.3,6.4,1,0,,,,2,低
SHOP_087,净衣坊美发,生活服务,F2,健康,62,221128,-1.1,15.4,31.4,19.3,0,0,139.9,7.1,1,0,,,,4,低
SHOP_088,青柠维修6,生活服务,F2,转化恶化,168,149710,-10.8,17.9,7.5,28.3,0,0,80.0,-4.6,3,0,,,,23,低
SHOP_089,悦修美发,生活服务,B1,健康,99,188098,0.7,19.9,31.1,18.2,0,0,146.1,5.0,2,0,,,,4,低
SHOP_090,邻里口腔,生活服务,F4,健康,69,221355,-2.5,15.3,15.7,17.4,0,0,106.6,0.5,2,0,,,,0,低
SHOP_091,青柠维修3,生活服务,F2,健康,152,182124,5.5,20.1,27.0,17.9,0,0,144.8,1.4,3,0,,,,0,低
SHOP_092,青柠美发,生活服务,B1,短期波动,101,231626,-6.1,11.4,18.1,16.9,0,0,80.8,2.9,5,0,,,,5,低
SHOP_093,飞轮跑步中心,潮流运动,F3,疑似撤店,198,249669,-36.0,3.5,6.0,38.0,66000,72,48.0,-45.0,8,0,,,,90,极高
SHOP_094,风速运动馆,潮流运动,F1,短期波动,324,348652,-10.3,12.0,19.8,23.4,0,0,154.2,5.8,4,0,,,,15,低
SHOP_095,跃动跑步中心,潮流运动,F2,健康,251,565196,-0.5,11.1,19.4,12.0,0,0,139.5,0.7,1,0,,,,0,低
SHOP_096,风速运动馆8,潮流运动,F1,健康,212,637574,2.9,21.7,29.6,20.6,0,0,133.3,5.5,1,0,,,,4,低
SHOP_097,燃点潮牌店,潮流运动,F1,短期波动,145,771379,-10.3,13.9,16.9,17.1,0,0,99.3,-6.6,4,0,,,,11,低
SHOP_098,飞轮潮牌店,潮流运动,F3,健康,322,856789,3.8,12.8,16.1,11.0,0,0,151.9,4.3,0,0,,,,0,低
SHOP_099,风速运动馆4,潮流运动,F3,健康,244,612272,3.6,20.5,31.2,20.5,0,0,127.0,6.4,3,0,,,,4,低
SHOP_100,潮跑潮牌店,潮流运动,F2,健康,134,756036,3.9,15.6,24.6,17.5,0,0,147.1,1.3,3,0,,,,0,低
