月份,门店ID,门店名称,业态分类,楼层,经营场景,租赁面积(sqm),月销售额,销售环比(%),租售比(%),欠费总额(元),欠费天数,水电费波动(%),近90天投诉数,进店率(%),成交转化率(%),保证金覆盖率(%),销售同比(%)
2025-08,SHOP_004,织造局,精品零售,F2,持续下滑,102,177010,0.0,32.2,201,6,0.0,2,6.3,7.7,157.5,0.0
2025-09,SHOP_004,织造局,精品零售,F2,持续下滑,102,187156,5.7,30.4,1790,11,-2.0,3,6.3,7.7,156.7,0.0
2025-10,SHOP_004,织造局,精品零售,F2,持续下滑,102,187374,0.1,30.4,2691,19,-5.2,4,6.4,7.7,156.3,0.0
2025-11,SHOP_004,织造局,精品零售,F2,持续下滑,102,195585,4.4,29.1,158,28,-2.2,3,6.4,7.8,157.5,0.0
2025-12,SHOP_004,织造局,精品零售,F2,持续下滑,102,195048,-0.3,29.2,3349,35,-7.4,3,6.4,7.8,155.9,0.0
2026-01,SHOP_004,织造局,精品零售,F2,持续下滑,102,147315,-24.5,38.7,3104,39,-8.6,3,6.1,7.5,156.1,0.0
2026-02,SHOP_004,织造局,精品零售,F2,持续下滑,102,137305,-6.8,41.5,5156,47,-5.8,5,6.0,7.4,155.0,0.0
2026-03,SHOP_004,织造局,精品零售,F2,持续下滑,102,149311,8.7,38.1,6668,53,-9.6,4,6.1,7.5,154.3,0.0
2026-04,SHOP_004,织造局,精品零售,F2,持续下滑,102,146831,-1.7,38.8,6353,57,-8.9,4,6.1,7.5,154.4,0.0
2026-05,SHOP_004,织造局,精品零售,F2,持续下滑,102,146027,-0.5,39.0,7390,66,-15.3,5,6.1,7.5,153.9,0.0
2026-06,SHOP_004,织造局,精品零售,F2,持续下滑,102,139393,-4.5,40.9,5352,73,-9.8,4,6.1,7.4,154.9,0.0
2026-07,SHOP_004,织造局,精品零售,F2,持续下滑,102,185243,32.9,30.7,17035,0,-10.1,5,6.3,7.7,149.1,0.0
2025-08,SHOP_005,NORM服饰,精品零售,F2,健康,123,442927,0.0,11.3,0,0,1.2,0,23.4,20.9,147.4,0.0
2025-09,SHOP_005,NORM服饰,精品零售,F2,健康,123,467687,5.6,10.7,0,0,-4.2,1,23.6,21.1,147.4,0.0
2025-10,SHOP_005,NORM服饰,精品零售,F2,健康,123,513830,9.9,9.8,1690,7,-1.1,1,24.0,21.4,146.6,0.0
2025-11,SHOP_005,NORM服饰,精品零售,F2,健康,123,525215,2.2,9.5,1304,11,-5.3,1,24.1,21.4,146.8,0.0
2025-12,SHOP_005,NORM服饰,精品零售,F2,健康,123,545498,3.9,9.2,0,0,4.2,1,24.3,21.6,147.4,0.0
2026-01,SHOP_005,NORM服饰,精品零售,F2,健康,123,442070,-19.0,11.3,0,0,-3.4,0,23.4,20.9,147.4,0.0
2026-02,SHOP_005,NORM服饰,精品零售,F2,健康,123,410999,-7.0,12.2,1473,7,4.2,0,23.1,20.7,146.7,0.0
2026-03,SHOP_005,NORM服饰,精品零售,F2,健康,123,466685,13.5,10.7,562,14,-1.6,0,23.6,21.1,147.2,0.0
2026-04,SHOP_005,NORM服饰,精品零售,F2,健康,123,499050,6.9,10.0,1570,20,7.6,0,23.9,21.3,146.7,0.0
2026-05,SHOP_005,NORM服饰,精品零售,F2,健康,123,505731,1.3,9.9,1310,29,-4.4,1,24.0,21.3,146.8,0.0
2026-06,SHOP_005,NORM服饰,精品零售,F2,健康,123,499980,-1.1,10.0,2101,39,4.6,0,23.9,21.3,146.4,0.0
2026-07,SHOP_005,NORM服饰,精品零售,F2,健康,123,463413,-7.3,10.8,0,0,-2.9,0,23.6,21.0,147.4,0.0
2025-08,SHOP_006,小野饰品,精品零售,F1,健康,244,571345,0.0,12.2,946,8,3.8,1,18.7,34.3,80.7,0.0
2025-09,SHOP_006,小野饰品,精品零售,F1,健康,244,594384,4.0,11.8,83,15,-4.5,1,18.8,34.5,81.1,0.0
2025-10,SHOP_006,小野饰品,精品零售,F1,健康,244,620991,4.5,11.3,0,6,0.5,1,19.0,34.7,81.2,0.0
2025-11,SHOP_006,小野饰品,精品零售,F1,健康,244,634760,2.2,11.0,1596,12,-2.4,2,19.0,34.8,80.4,0.0
2025-12,SHOP_006,小野饰品,精品零售,F1,健康,244,682380,7.5,10.2,0,0,0.2,0,19.3,35.2,81.2,0.0
2026-01,SHOP_006,小野饰品,精品零售,F1,健康,244,537735,-21.2,13.0,1332,5,-0.0,1,18.5,34.0,80.5,0.0
2026-02,SHOP_006,小野饰品,精品零售,F1,健康,244,528167,-1.8,13.2,0,0,3.8,2,18.4,33.9,81.2,0.0
2026-03,SHOP_006,小野饰品,精品零售,F1,健康,244,570308,8.0,12.3,2166,7,-2.2,2,18.7,34.3,80.1,0.0
2026-04,SHOP_006,小野饰品,精品零售,F1,健康,244,602878,5.7,11.6,1439,13,-1.2,1,18.9,34.5,80.5,0.0
2026-05,SHOP_006,小野饰品,精品零售,F1,健康,244,613964,1.8,11.4,0,4,3.2,3,18.9,34.6,81.2,0.0
2026-06,SHOP_006,小野饰品,精品零售,F1,健康,244,614166,0.0,11.4,0,0,3.8,2,18.9,34.6,81.2,0.0
2026-07,SHOP_006,小野饰品,精品零售,F1,健康,244,569502,-7.3,12.3,0,0,1.5,2,18.7,34.3,81.2,0.0
2025-08,SHOP_007,半糖香氛,精品零售,F2,健康,120,491729,0.0,16.4,0,0,-5.6,0,10.5,18.6,131.9,0.0
2025-09,SHOP_007,半糖香氛,精品零售,F2,健康,120,495942,0.9,16.3,0,0,-1.9,1,10.5,18.6,131.9,0.0
2025-10,SHOP_007,半糖香氛,精品零售,F2,健康,120,549516,10.8,14.7,2128,8,7.2,1,10.7,18.9,130.9,0.0
2025-11,SHOP_007,半糖香氛,精品零售,F2,健康,120,555952,1.2,14.5,0,0,-6.1,1,10.7,18.9,131.9,0.0
2025-12,SHOP_007,半糖香氛,精品零售,F2,健康,120,587056,5.6,13.8,0,0,-2.2,0,10.9,19.1,131.9,0.0
2026-01,SHOP_007,半糖香氛,精品零售,F2,健康,120,472812,-19.5,17.1,2307,8,2.3,0,10.4,18.5,130.8,0.0
2026-02,SHOP_007,半糖香氛,精品零售,F2,健康,120,445424,-5.8,18.1,0,0,-2.3,1,10.3,18.4,131.9,0.0
2026-03,SHOP_007,半糖香氛,精品零售,F2,健康,120,504588,13.3,16.0,0,0,4.3,1,10.5,18.7,131.9,0.0
2026-04,SHOP_007,半糖香氛,精品零售,F2,健康,120,537572,6.5,15.0,0,0,-5.9,1,10.7,18.8,131.9,0.0
2026-05,SHOP_007,半糖香氛,精品零售,F2,健康,120,553697,3.0,14.6,0,0,4.5,1,10.7,18.9,131.9,0.0
2026-06,SHOP_007,半糖香氛,精品零售,F2,健康,120,511590,-7.6,15.8,2440,9,5.4,1,10.6,18.7,130.7,0.0
2026-07,SHOP_007,半糖香氛,精品零售,F2,健康,120,494716,-3.3,16.3,0,0,1.9,1,10.5,18.6,131.9,0.0
2025-08,SHOP_008,KIKI潮玩,精品零售,F2,健康,121,611160,0.0,14.9,0,0,-0.8,2,11.5,29.9,104.8,0.0
2025-09,SHOP_008,KIKI潮玩,精品零售,F2,健康,121,640648,4.8,14.3,2138,10,3.8,1,11.6,30.1,103.7,0.0
2025-10,SHOP_008,KIKI潮玩,精品零售,F2,健康,121,672779,5.0,13.6,1468,19,-2.4,2,11.7,30.3,104.1,0.0
2025-11,SHOP_008,KIKI潮玩,精品零售,F2,健康,121,677613,0.7,13.5,2419,27,-1.0,3,11.7,30.3,103.6,0.0
2025-12,SHOP_008,KIKI潮玩,精品零售,F2,健康,121,739248,9.1,12.4,2193,37,-0.7,1,11.9,30.7,103.7,0.0
2026-01,SHOP_008,KIKI潮玩,精品零售,F2,健康,121,563368,-23.8,16.2,500,41,-3.0,2,11.3,29.5,104.5,0.0
2026-02,SHOP_008,KIKI潮玩,精品零售,F2,健康,121,541952,-3.8,16.8,1626,46,3.6,2,11.3,29.4,104.0,0.0
2026-03,SHOP_008,KIKI潮玩,精品零售,F2,健康,121,632481,16.7,14.4,0,32,4.6,2,11.6,30.0,104.8,0.0
2026-04,SHOP_008,KIKI潮玩,精品零售,F2,健康,121,659296,4.2,13.8,1413,36,1.7,2,11.7,30.2,104.1,0.0
2026-05,SHOP_008,KIKI潮玩,精品零售,F2,健康,121,663676,0.7,13.8,0,23,5.0,2,11.7,30.2,104.8,0.0
2026-06,SHOP_008,KIKI潮玩,精品零售,F2,健康,121,632562,-4.7,14.4,2425,27,-0.8,2,11.6,30.0,103.6,0.0
2026-07,SHOP_008,KIKI潮玩,精品零售,F2,健康,121,610216,-3.5,15.0,0,0,-0.4,3,11.5,29.8,104.8,0.0
2025-08,SHOP_009,青禾眼镜,精品零售,F3,健康,207,550229,0.0,19.5,0,0,5.5,2,13.7,33.5,81.1,0.0
2025-09,SHOP_009,青禾眼镜,精品零售,F3,健康,207,573843,4.3,18.7,0,0,-1.1,1,13.8,33.7,81.1,0.0
2025-10,SHOP_009,青禾眼镜,精品零售,F3,健康,207,612397,6.7,17.5,2208,7,2.1,2,13.9,34.0,80.0,0.0
2025-11,SHOP_009,青禾眼镜,精品零售,F3,健康,207,635510,3.8,16.8,0,0,-2.4,3,14.0,34.2,81.1,0.0
2025-12,SHOP_009,青禾眼镜,精品零售,F3,健康,207,676290,6.4,15.8,0,0,-0.7,3,14.2,34.5,81.1,0.0
2026-01,SHOP_009,青禾眼镜,精品零售,F3,健康,207,546955,-19.1,19.6,0,0,-0.6,1,13.6,33.5,81.1,0.0
2026-02,SHOP_009,青禾眼镜,精品零售,F3,健康,207,521960,-4.6,20.5,1679,5,-6.1,2,13.5,33.2,80.2,0.0
2026-03,SHOP_009,青禾眼镜,精品零售,F3,健康,207,567584,8.7,18.9,0,0,-2.3,2,13.7,33.6,81.1,0.0
2026-04,SHOP_009,青禾眼镜,精品零售,F3,健康,207,614709,8.3,17.4,0,0,-2.4,2,13.9,34.0,81.1,0.0
2026-05,SHOP_009,青禾眼镜,精品零售,F3,健康,207,618242,0.6,17.3,0,0,-0.6,2,14.0,34.0,81.1,0.0
2026-06,SHOP_009,青禾眼镜,精品零售,F3,健康,207,605351,-2.1,17.7,0,0,-4.6,3,13.9,33.9,81.1,0.0
2026-07,SHOP_009,青禾眼镜,精品零售,F3,健康,207,566871,-6.4,18.9,0,0,-4.9,3,13.7,33.6,81.1,0.0
2025-08,SHOP_010,方寸书店,精品零售,F2,区域性下滑,205,472184,0.0,23.4,0,0,0.8,0,6.7,23.0,143.7,0.0
2025-09,SHOP_010,方寸书店,精品零售,F2,区域性下滑,205,477274,1.1,23.2,1959,6,-5.0,0,6.7,23.0,142.8,0.0
2025-10,SHOP_010,方寸书店,精品零售,F2,区域性下滑,205,501165,5.0,22.1,2157,11,-2.6,0,6.8,23.2,142.7,0.0
2025-11,SHOP_010,方寸书店,精品零售,F2,区域性下滑,205,529465,5.6,20.9,0,0,-4.3,0,6.8,23.4,143.7,0.0
2025-12,SHOP_010,方寸书店,精品零售,F2,区域性下滑,205,531676,0.4,20.8,0,0,-1.9,1,6.8,23.4,143.7,0.0
2026-01,SHOP_010,方寸书店,精品零售,F2,区域性下滑,205,404665,-23.9,27.4,1687,6,-8.5,0,6.5,22.6,142.9,0.0
2026-02,SHOP_010,方寸书店,精品零售,F2,区域性下滑,205,379470,-6.2,29.2,1389,15,-12.1,1,6.5,22.4,143.1,0.0
2026-03,SHOP_010,方寸书店,精品零售,F2,区域性下滑,205,410070,8.1,27.0,944,24,-4.8,1,6.5,22.6,143.3,0.0
2026-04,SHOP_010,方寸书店,精品零售,F2,区域性下滑,205,421224,2.7,26.3,0,12,-7.2,0,6.6,22.7,143.7,0.0
2026-05,SHOP_010,方寸书店,精品零售,F2,区域性下滑,205,428376,1.7,25.8,0,0,-6.3,0,6.6,22.7,143.7,0.0
2026-06,SHOP_010,方寸书店,精品零售,F2,区域性下滑,205,406976,-5.0,27.2,267,5,-13.1,1,6.5,22.6,143.6,0.0
2026-07,SHOP_010,方寸书店,精品零售,F2,区域性下滑,205,487249,19.7,22.7,0,0,0.9,1,6.7,23.1,143.7,0.0
2025-08,SHOP_011,晨白美妆,精品零售,F3,转化恶化,150,234884,0.0,29.6,0,0,-5.9,3,17.7,5.4,95.6,0.0
2025-09,SHOP_011,晨白美妆,精品零售,F3,转化恶化,150,236123,0.5,29.5,0,0,-0.2,4,17.7,5.4,95.6,0.0
2025-10,SHOP_011,晨白美妆,精品零售,F3,转化恶化,150,250049,5.9,27.9,325,5,-7.9,5,17.9,5.4,95.4,0.0
2025-11,SHOP_011,晨白美妆,精品零售,F3,转化恶化,150,252976,1.2,27.5,819,11,-7.9,3,17.9,5.5,95.2,0.0
2025-12,SHOP_011,晨白美妆,精品零售,F3,转化恶化,150,268076,6.0,26.0,0,0,-5.6,5,18.1,5.5,95.6,0.0
2026-01,SHOP_011,晨白美妆,精品零售,F3,转化恶化,150,200328,-25.3,34.8,1635,10,-9.6,5,17.2,5.3,94.8,0.0
2026-02,SHOP_011,晨白美妆,精品零售,F3,转化恶化,150,194192,-3.1,35.9,0,0,-5.2,6,17.1,5.3,95.6,0.0
2026-03,SHOP_011,晨白美妆,精品零售,F3,转化恶化,150,216768,11.6,32.1,0,0,-1.4,5,17.4,5.3,95.6,0.0
2026-04,SHOP_011,晨白美妆,精品零售,F3,转化恶化,150,211789,-2.3,32.9,1077,8,-0.3,5,17.4,5.3,95.1,0.0
2026-05,SHOP_011,晨白美妆,精品零售,F3,转化恶化,150,224503,6.0,31.0,0,0,-9.7,7,17.5,5.4,95.6,0.0
2026-06,SHOP_011,晨白美妆,精品零售,F3,转化恶化,150,204618,-8.9,34.0,1661,5,2.4,7,17.3,5.3,94.8,0.0
2026-07,SHOP_011,晨白美妆,精品零售,F3,转化恶化,150,240261,17.4,29.0,0,0,3.0,7,17.7,5.4,95.6,0.0
2025-08,SHOP_012,LUMA家居,精品零售,F1,健康,122,191474,0.0,21.1,1279,6,2.4,0,20.1,27.3,144.9,0.0
2025-09,SHOP_012,LUMA家居,精品零售,F1,健康,122,201040,5.0,20.1,0,0,-1.0,1,20.3,27.5,145.6,0.0
2025-10,SHOP_012,LUMA家居,精品零售,F1,健康,122,216813,7.8,18.6,0,0,-1.8,1,20.6,27.8,145.6,0.0
2025-11,SHOP_012,LUMA家居,精品零售,F1,健康,122,219441,1.2,18.4,0,0,-1.8,1,20.6,27.8,145.6,0.0
2025-12,SHOP_012,LUMA家居,精品零售,F1,健康,122,231222,5.4,17.5,2219,6,4.1,0,20.9,28.0,144.5,0.0
2026-01,SHOP_012,LUMA家居,精品零售,F1,健康,122,186410,-19.4,21.7,2,11,1.2,0,20.0,27.2,145.6,0.0
2026-02,SHOP_012,LUMA家居,精品零售,F1,健康,122,174517,-6.4,23.2,0,0,4.0,0,19.8,26.9,145.6,0.0
2026-03,SHOP_012,LUMA家居,精品零售,F1,健康,122,198584,13.8,20.4,0,0,0.9,1,20.2,27.4,145.6,0.0
2026-04,SHOP_012,LUMA家居,精品零售,F1,健康,122,204224,2.8,19.8,1254,7,-4.6,1,20.3,27.5,145.0,0.0
2026-05,SHOP_012,LUMA家居,精品零售,F1,健康,122,213107,4.3,19.0,0,0,3.3,0,20.5,27.7,145.6,0.0
2026-06,SHOP_012,LUMA家居,精品零售,F1,健康,122,210241,-1.3,19.2,2111,5,2.9,1,20.5,27.6,144.5,0.0
2026-07,SHOP_012,LUMA家居,精品零售,F1,健康,122,195490,-7.0,20.7,0,0,5.1,0,20.2,27.3,145.6,0.0
2025-08,SHOP_013,GLINT饰界,精品零售,F1,健康,227,398870,0.0,11.3,1509,9,2.1,0,21.4,29.1,96.7,0.0
2025-09,SHOP_013,GLINT饰界,精品零售,F1,健康,227,418069,4.8,10.8,0,0,-1.2,0,21.6,29.3,97.4,0.0
2025-10,SHOP_013,GLINT饰界,精品零售,F1,健康,227,451721,8.0,10.0,1292,4,-4.4,1,21.9,29.6,96.8,0.0
2025-11,SHOP_013,GLINT饰界,精品零售,F1,健康,227,474331,5.0,9.5,0,0,-6.4,0,22.2,29.8,97.4,0.0
2025-12,SHOP_013,GLINT饰界,精品零售,F1,健康,227,503055,6.1,9.0,785,6,2.5,1,22.4,30.1,97.0,0.0
2026-01,SHOP_013,GLINT饰界,精品零售,F1,健康,227,390103,-22.5,11.6,0,0,-5.6,0,21.4,29.0,97.4,0.0
2026-02,SHOP_013,GLINT饰界,精品零售,F1,健康,227,372807,-4.4,12.1,0,0,5.8,2,21.2,28.8,97.4,0.0
2026-03,SHOP_013,GLINT饰界,精品零售,F1,健康,227,429317,15.2,10.5,0,0,5.2,1,21.7,29.4,97.4,0.0
2026-04,SHOP_013,GLINT饰界,精品零售,F1,健康,227,438144,2.1,10.3,0,0,1.5,1,21.8,29.5,97.4,0.0
2026-05,SHOP_013,GLINT饰界,精品零售,F1,健康,227,450794,2.9,10.0,0,0,-1.8,1,21.9,29.6,97.4,0.0
2026-06,SHOP_013,GLINT饰界,精品零售,F1,健康,227,425018,-5.7,10.6,1687,5,-1.3,1,21.7,29.4,96.6,0.0
2026-07,SHOP_013,GLINT饰界,精品零售,F1,健康,227,412226,-3.0,10.9,0,0,5.1,1,21.6,29.2,97.4,0.0
2025-08,SHOP_014,素然衣橱,精品零售,F1,转化恶化,186,277862,0.0,28.9,2132,10,2.0,1,16.7,8.3,110.4,0.0
2025-09,SHOP_014,素然衣橱,精品零售,F1,转化恶化,186,281600,1.3,28.5,0,0,0.7,3,16.7,8.3,111.4,0.0
2025-10,SHOP_014,素然衣橱,精品零售,F1,转化恶化,186,294165,4.5,27.3,0,0,0.5,3,16.9,8.4,111.4,0.0
2025-11,SHOP_014,素然衣橱,精品零售,F1,转化恶化,186,304873,3.6,26.3,203,9,-2.4,2,17.0,8.4,111.3,0.0
2025-12,SHOP_014,素然衣橱,精品零售,F1,转化恶化,186,315831,3.6,25.4,1846,17,-9.5,4,17.1,8.5,110.5,0.0
2026-01,SHOP_014,素然衣橱,精品零售,F1,转化恶化,186,234809,-25.7,34.2,506,23,-4.3,4,16.2,8.1,111.2,0.0
2026-02,SHOP_014,素然衣橱,精品零售,F1,转化恶化,186,231569,-1.4,34.7,98,31,0.3,4,16.2,8.1,111.4,0.0
2026-03,SHOP_014,素然衣橱,精品零售,F1,转化恶化,186,244487,5.6,32.8,280,36,-2.9,4,16.3,8.2,111.3,0.0
2026-04,SHOP_014,素然衣橱,精品零售,F1,转化恶化,186,257962,5.5,31.1,787,46,-5.1,4,16.5,8.2,111.0,0.0
2026-05,SHOP_014,素然衣橱,精品零售,F1,转化恶化,186,262592,1.8,30.6,0,33,1.4,5,16.5,8.2,111.4,0.0
2026-06,SHOP_014,素然衣橱,精品零售,F1,转化恶化,186,236590,-9.9,33.9,0,20,-3.8,5,16.2,8.1,111.4,0.0
2026-07,SHOP_014,素然衣橱,精品零售,F1,转化恶化,186,280946,18.7,28.6,0,0,2.5,5,16.7,8.3,111.4,0.0
2025-08,SHOP_015,岚裳集合,精品零售,F1,健康,241,548956,0.0,16.7,0,0,3.7,1,19.7,33.3,95.1,0.0
2025-09,SHOP_015,岚裳集合,精品零售,F1,健康,241,584728,6.5,15.7,0,0,-3.6,0,20.0,33.6,95.1,0.0
2025-10,SHOP_015,岚裳集合,精品零售,F1,健康,241,632283,8.1,14.5,0,0,-3.6,1,20.3,34.0,95.1,0.0
2025-11,SHOP_015,岚裳集合,精品零售,F1,健康,241,654693,3.5,14.0,0,0,-1.2,0,20.4,34.2,95.1,0.0
2025-12,SHOP_015,岚裳集合,精品零售,F1,健康,241,700383,7.0,13.1,360,4,1.2,1,20.7,34.6,94.9,0.0
2026-01,SHOP_015,岚裳集合,精品零售,F1,健康,241,546566,-22.0,16.8,1795,10,1.9,1,19.7,33.3,94.2,0.0
2026-02,SHOP_015,岚裳集合,精品零售,F1,健康,241,510001,-6.7,18.0,1181,17,2.8,1,19.5,33.0,94.5,0.0
2026-03,SHOP_015,岚裳集合,精品零售,F1,健康,241,569639,11.7,16.1,2451,22,5.8,1,19.9,33.5,93.9,0.0
2026-04,SHOP_015,岚裳集合,精品零售,F1,健康,241,610373,7.2,15.1,22,26,5.4,1,20.1,33.8,95.1,0.0
2026-05,SHOP_015,岚裳集合,精品零售,F1,健康,241,617232,1.1,14.9,0,18,-5.6,2,20.2,33.9,95.1,0.0
2026-06,SHOP_015,岚裳集合,精品零售,F1,健康,241,587107,-4.9,15.7,1729,22,-1.5,2,20.0,33.7,94.2,0.0
2026-07,SHOP_015,岚裳集合,精品零售,F1,健康,241,567202,-3.4,16.2,0,0,0.7,2,19.9,33.5,95.1,0.0
2025-08,SHOP_016,初见花艺,精品零售,F3,欠费承压,180,463324,0.0,29.6,1812,6,-7.0,3,10.1,18.7,85.1,0.0
2025-09,SHOP_016,初见花艺,精品零售,F3,欠费承压,180,484173,4.5,28.3,1228,13,-3.6,3,10.2,18.9,85.4,0.0
2025-10,SHOP_016,初见花艺,精品零售,F3,欠费承压,180,490619,1.3,27.9,5748,19,-1.7,1,10.2,18.9,83.2,0.0
2025-11,SHOP_016,初见花艺,精品零售,F3,欠费承压,180,508978,3.7,26.9,5236,29,-8.2,1,10.3,19.0,83.4,0.0
2025-12,SHOP_016,初见花艺,精品零售,F3,欠费承压,180,517121,1.6,26.5,8621,37,-7.2,4,10.3,19.0,81.7,0.0
2026-01,SHOP_016,初见花艺,精品零售,F3,欠费承压,180,397693,-23.1,34.5,10631,44,-12.3,3,9.8,18.4,80.7,0.0
2026-02,SHOP_016,初见花艺,精品零售,F3,欠费承压,180,371723,-6.5,36.9,17070,53,-4.4,4,9.7,18.3,77.5,0.0
2026-03,SHOP_016,初见花艺,精品零售,F3,欠费承压,180,409891,10.3,33.4,17734,60,-4.8,3,9.9,18.5,77.2,0.0
2026-04,SHOP_016,初见花艺,精品零售,F3,欠费承压,180,412277,0.6,33.3,21456,70,-7.4,4,9.9,18.5,75.3,0.0
2026-05,SHOP_016,初见花艺,精品零售,F3,欠费承压,180,416169,0.9,32.9,22472,75,-13.1,4,9.9,18.5,74.8,0.0
2026-06,SHOP_016,初见花艺,精品零售,F3,欠费承压,180,405229,-2.6,33.8,24234,82,-8.3,4,9.9,18.4,73.9,0.0
2026-07,SHOP_016,初见花艺,精品零售,F3,欠费承压,180,488085,20.4,28.1,37596,25,-14.6,4,10.2,18.9,67.2,0.0
